model_key,condition,candidate_group,example_idx,mode,scale,clean_nll,intervened_nll,delta_nll,output_kl,bos_attention,dummy_attention,dummy_minus_bos,tokens
mistral_7b_v0_1,dummy_only,selected,0,blank_dummy,0.0,1.3307267801502933,1.314401695572153,-0.016325084578140414,0.014900323003530502,0.47953569889068604,0.002304347697645426,-0.47723135352134705,1023
mistral_7b_v0_1,dummy_only,selected,1,blank_dummy,0.0,1.5168535786290323,1.5083930201078324,-0.008460558521199868,0.011084464378654957,0.473283976316452,0.0021052989177405834,-0.47117868065834045,1023
mistral_7b_v0_1,dummy_only,selected,2,blank_dummy,0.0,1.3922991412359482,1.388192662512219,-0.004106478723729268,0.010386227630078793,0.4599420130252838,0.002079823287203908,-0.4578621983528137,1023
mistral_7b_v0_1,dummy_only,selected,3,blank_dummy,0.0,1.4238503196022727,1.4121756008293622,-0.011674718772910486,0.011652751825749874,0.4834858179092407,0.0021044753957539797,-0.481381356716156,1023
mistral_7b_v0_1,dummy_only,selected,4,blank_dummy,0.0,1.2752956416483383,1.2824277458302786,0.007132104181940324,0.01426851749420166,0.4525652229785919,0.002120808232575655,-0.45044440031051636,1023
mistral_7b_v0_1,dummy_only,selected,5,blank_dummy,0.0,1.6004866584188662,1.5903525552908113,-0.01013410312805485,0.01004788652062416,0.4651446044445038,0.0021087664645165205,-0.46303585171699524,1023
mistral_7b_v0_1,dummy_only,selected,6,blank_dummy,0.0,1.709173148445137,1.7024364900262707,-0.0067366584188661705,0.014113377779722214,0.45106902718544006,0.001982802525162697,-0.4490862190723419,1023
mistral_7b_v0_1,dummy_only,selected,7,blank_dummy,0.0,1.4225533672791422,1.4158306699810606,-0.006722697298081615,0.011687097139656544,0.490333616733551,0.002044805558398366,-0.4882888197898865,1023
mistral_7b_v0_1,dummy_only,selected,8,blank_dummy,0.0,1.6034390178244136,1.589812247983871,-0.013626769840542563,0.00909067690372467,0.48435986042022705,0.0019731298089027405,-0.4823867380619049,1023
mistral_7b_v0_1,dummy_only,selected,9,blank_dummy,0.0,1.6139312177342986,1.6160764573023583,0.002145239568059676,0.01181215513497591,0.4715278148651123,0.002055971883237362,-0.46947184205055237,1023
