artifact_family,step,source_path,resampling_unit,num_units,random_dummy_minus_bos_mean,random_dummy_minus_bos_ci_low,random_dummy_minus_bos_ci_high,selected_dummy_minus_bos_mean,dummy_only_dummy_minus_bos_mean,selected_minus_random_mean,note
toy_bridge,0,outputs/preserved_main_paper_figures/sources/figure7_toy_relocation_bridge_metrics.csv,random_control_run,5,3.987298e-05,-0.00011772641999999999,0.00020356760000000003,-0.0001801629550755,-0.000199272762984,-0.0002200359350755,CI covers layer-matched random-control runs only; selected and dummy-only rows are aggregate-only in preserved source.
toy_bridge,1000,outputs/preserved_main_paper_figures/sources/figure7_toy_relocation_bridge_metrics.csv,random_control_run,5,0.015765742,0.005403504,0.026127980000000002,0.0314648635685443,-0.022632947191596,0.0156991215685443,CI covers layer-matched random-control runs only; selected and dummy-only rows are aggregate-only in preserved source.
toy_bridge,2000,outputs/preserved_main_paper_figures/sources/figure7_toy_relocation_bridge_metrics.csv,random_control_run,5,0.023577868000000002,0.009227064,0.033401520000000004,0.0429979003965854,-0.0292672123759984,0.0194200323965854,CI covers layer-matched random-control runs only; selected and dummy-only rows are aggregate-only in preserved source.
toy_bridge,3000,outputs/preserved_main_paper_figures/sources/figure7_toy_relocation_bridge_metrics.csv,random_control_run,5,-0.0108428946,-0.018093492,-0.0037154812,0.053039364516735,-0.0383362025022506,0.06388225911673501,CI covers layer-matched random-control runs only; selected and dummy-only rows are aggregate-only in preserved source.
toy_bridge,4000,outputs/preserved_main_paper_figures/sources/figure7_toy_relocation_bridge_metrics.csv,random_control_run,5,-0.014296802,-0.02442064,-0.003465886,0.045404702425003,-0.0461564511060714,0.05970150442500301,CI covers layer-matched random-control runs only; selected and dummy-only rows are aggregate-only in preserved source.
toy_bridge,5000,outputs/preserved_main_paper_figures/sources/figure7_toy_relocation_bridge_metrics.csv,random_control_run,5,-0.00847125,-0.020505279999999997,0.00356278,0.0237289424985647,-0.0526861101388931,0.0322001924985647,CI covers layer-matched random-control runs only; selected and dummy-only rows are aggregate-only in preserved source.
toy_bridge,6000,outputs/preserved_main_paper_figures/sources/figure7_toy_relocation_bridge_metrics.csv,random_control_run,5,-0.023504764,-0.034721,-0.012288528,0.0238740965723991,-0.0552762299776077,0.0473788605723991,CI covers layer-matched random-control runs only; selected and dummy-only rows are aggregate-only in preserved source.
toy_bridge,7000,outputs/preserved_main_paper_figures/sources/figure7_toy_relocation_bridge_metrics.csv,random_control_run,5,-0.021781242,-0.03555498,-0.005791625999999999,0.0160497426986694,-0.0588703975081443,0.0378309846986694,CI covers layer-matched random-control runs only; selected and dummy-only rows are aggregate-only in preserved source.
toy_bridge,8000,outputs/preserved_main_paper_figures/sources/figure7_toy_relocation_bridge_metrics.csv,random_control_run,5,-0.03844552,-0.04243028,-0.03454876,0.0263457130640745,-0.0622202977538108,0.0647912330640745,CI covers layer-matched random-control runs only; selected and dummy-only rows are aggregate-only in preserved source.
toy_bridge,9000,outputs/preserved_main_paper_figures/sources/figure7_toy_relocation_bridge_metrics.csv,random_control_run,5,-0.046584900000000005,-0.05342304,-0.041791640000000005,0.0156886875629425,-0.0654511302709579,0.0622735875629425,CI covers layer-matched random-control runs only; selected and dummy-only rows are aggregate-only in preserved source.
toy_bridge,10000,outputs/preserved_main_paper_figures/sources/figure7_toy_relocation_bridge_metrics.csv,random_control_run,5,-0.033842848,-0.04333808,-0.021534004,0.0148649327456951,-0.0651499778032302,0.0487077807456951,CI covers layer-matched random-control runs only; selected and dummy-only rows are aggregate-only in preserved source.
